ARS_region;ARS_governorate;ARS_county;ARS_community;ARS_city;cityname;postcode
01;0;01;0000;000;Flensburg;24937
01;0;02;0000;000;Kiel;24103
01;0;03;0000;000;Lübeck;23552
01;0;04;0000;000;Neumünster;24534
01;0;51;0011;011;Brunsbüttel;25541
01;0;51;0044;044;Heide;25746
01;0;51;5163;003;Averlak;25715
01;0;51;5163;010;Brickeln;25712
01;0;51;5163;012;Buchholz;25712
01;0;51;5163;016;Burg (Dithmarschen);25712
01;0;51;5163;022;Dingen;25715
01;0;51;5163;024;Eddelak;25715
01;0;51;5163;026;Eggstedt;25721
01;0;51;5163;032;Frestedt;25727
01;0;51;5163;037;Großenrade;25712
01;0;51;5163;051;Hochdonn;25712
01;0;51;5163;064;Kuden;25712
01;0;51;5163;089;Quickborn;25712
01;0;51;5163;097;Sankt Michaelisdonn;25693
01;0;51;5163;110;Süderhastedt;25727
01;0;51;5166;021;Diekhusen-Fahrstedt;25709
01;0;51;5166;034;Friedrichskoog;25718
01;0;51;5166;046;Helse;25709
01;0;51;5166;057;Kaiser-Wilhelm-Koog;25709
01;0;51;5166;062;Kronprinzenkoog;25709
01;0;51;5166;072;Marne;25709
01;0;51;5166;073;Marnerdeich;25709
01;0;51;5166;076;Neufeld;25724
01;0;51;5166;077;Neufelderkoog;25724
01;0;51;5166;090;Ramhusen;25715
01;0;51;5166;103;Schmedeswurth;25724
01;0;51;5166;118;Trennewurth;25693
01;0;51;5166;119;Volsemenhusen;25693
01;0;51;5169;005;Barkenholm;25791
01;0;51;5169;008;Bergewöhrden;25779
01;0;51;5169;019;Dellstedt;25786
01;0;51;5169;020;Delve;25788
01;0;51;5169;023;Dörpling;25794
01;0;51;5169;030;Fedderingen;25779
01;0;51;5169;035;Gaushorn;25782
01;0;51;5169;036;Glüsing;25779
01;0;51;5169;038;Groven;25774
01;0;51;5169;047;Hemme;25774
01;0;51;5169;049;Hennstedt;25779
01;0;51;5169;052;Hövede;25782
01;0;51;5169;053;Hollingstedt;25788
01;0;51;5169;058;Karolinenkoog;25774
01;0;51;5169;060;Kleve;25779
01;0;51;5169;061;Krempel;25774
01;0;51;5169;065;Lehe;25774
01;0;51;5169;068;Linden;25791
01;0;51;5169;071;Lunden;25774
01;0;51;5169;080;Norderheistedt;25779
01;0;51;5169;088;Pahlen;25794
01;0;51;5169;092;Rehm-Flehde-Bargen;25776
01;0;51;5169;096;Sankt Annen;25776
01;0;51;5169;100;Schalkholz;25782
01;0;51;5169;102;Schlichting;25779
01;0;51;5169;114;Tellingstedt;25782
01;0;51;5169;117;Tielenhemme;25794
01;0;51;5169;120;Wallen;25788
01;0;51;5169;125;Welmbüttel;25782
01;0;51;5169;131;Westerborstel;25782
01;0;51;5169;133;Wiemerstedt;25779
01;0;51;5169;136;Wrohm;25799
01;0;51;5169;139;Süderdorf;25782
01;0;51;5169;141;Süderheistedt;25779
01;0;51;5172;048;Hemmingstedt;25770
01;0;51;5172;067;Lieth;25770
01;0;51;5172;069;Lohe-Rickelshof;25746
01;0;51;5172;075;Neuenkirchen;25792
01;0;51;5172;081;Norderwöhrden;25746
01;0;51;5172;082;Nordhastedt;25785
01;0;51;5172;087;Ostrohe;25746
01;0;51;5172;107;Stelle-Wittenwurth;25795
01;0;51;5172;113;Wöhrden;25797
01;0;51;5172;122;Weddingstedt;25795
01;0;51;5172;130;Wesseln;25746
01;0;51;5175;001;Albersdorf;25767
01;0;51;5175;002;Arkebek;25767
01;0;51;5175;004;Bargenstedt;25704
01;0;51;5175;006;Barlt;25719
01;0;51;5175;015;Bunsoh;25767
01;0;51;5175;017;Busenwurth;25719
01;0;51;5175;027;Elpersbüttel;25704
01;0;51;5175;028;Epenwöhrden;25704
01;0;51;5175;039;Gudendorf;25693
01;0;51;5175;054;Immenstedt;25767
01;0;51;5175;063;Krumstedt;25727
01;0;51;5175;074;Meldorf;25704
01;0;51;5175;078;Nindorf;25704
01;0;51;5175;083;Odderade;25785
01;0;51;5175;085;Offenbüttel;25767
01;0;51;5175;086;Osterrade;25767
01;0;51;5175;098;Sarzbüttel;25785
01;0;51;5175;099;Schafstedt;25725
01;0;51;5175;104;Schrum;25782
01;0;51;5175;126;Wennbüttel;25767
01;0;51;5175;134;Windbergen;25729
01;0;51;5175;135;Wolmersdorf;25704
01;0;51;5175;137;Nordermeldorf;25704
01;0;51;5175;138;Tensbüttel-Röst;25767
01;0;51;5178;013;Büsum;25761
01;0;51;5178;014;Büsumer Deichhausen;25761
01;0;51;5178;033;Friedrichsgabekoog;25764
01;0;51;5178;043;Hedwigenkoog;25761
01;0;51;5178;045;Hellschen-Heringsand-Unterschaar;25764
01;0;51;5178;050;Hillgroven;25764
01;0;51;5178;079;Norddeich;25764
01;0;51;5178;084;Oesterdeichstrich;25761
01;0;51;5178;093;Reinsbüttel;25764
01;0;51;5178;105;Schülp;25764
01;0;51;5178;108;Strübbel;25792
01;0;51;5178;109;Süderdeich;25764
01;0;51;5178;121;Warwerort;25761
01;0;51;5178;127;Wesselburen;25764
01;0;51;5178;128;Wesselburener Deichhausen;25764
01;0;51;5178;129;Wesselburenerkoog;25764
01;0;51;5178;132;Westerdeichstrich;25761
01;0;51;5178;140;Oesterwurth;25764
01;0;53;0032;032;Geesthacht;21502
01;0;53;0083;083;Lauenburg/ Elbe;21481
01;0;53;0090;090;Mölln;23879
01;0;53;0100;100;Ratzeburg;23909
01;0;53;0116;116;Schwarzenbek;21493
01;0;53;0129;129;Wentorf bei Hamburg;21465
01;0;53;5308;008;Behlendorf;23919
01;0;53;5308;009;Berkenthin;23919
01;0;53;5308;011;Bliestorf;23847
01;0;53;5308;024;Düchelsdorf;23847
01;0;53;5308;034;Göldenitz;23919
01;0;53;5308;061;Kastorf;23847
01;0;53;5308;067;Klempau;23628
01;0;53;5308;075;Krummesse;23628
01;0;53;5308;094;Niendorf bei Berkenthin;23919
01;0;53;5308;103;Rondeshagen;23919
01;0;53;5308;120;Sierksrade;23847
01;0;53;5313;002;Alt-Mölln;23881
01;0;53;5313;005;Bälau;23881
01;0;53;5313;013;Borstorf;23881
01;0;53;5313;014;Breitenfelde;23881
01;0;53;5313;037;Grambek;23883
01;0;53;5313;056;Hornbek;21514
01;0;53;5313;084;Lehmrade;23883
01;0;53;5313;095;Niendorf/ Stecknitz;23881
01;0;53;5313;113;Schretstaken;21493
01;0;53;5313;125;Talkau;21493
01;0;53;5313;134;Woltersdorf;21516
01;0;53;5318;010;Besenthal;23899
01;0;53;5318;015;Bröthen;21514
01;0;53;5318;020;Büchen;21514
01;0;53;5318;029;Fitzen;21514
01;0;53;5318;035;Göttin;21514
01;0;53;5318;046;Gudow;23899
01;0;53;5318;048;Güster;21514
01;0;53;5318;064;Klein Pampau;21514
01;0;53;5318;080;Langenlehsten;21514
01;0;53;5318;092;Müssen;21516
01;0;53;5318;104;Roseburg;21514
01;0;53;5318;115;Schulendorf;21516
01;0;53;5318;119;Siebeneichen;21514
01;0;53;5318;126;Tramm;21516
01;0;53;5318;132;Witzeeze;21514
01;0;53;5323;003;Aumühle;21521
01;0;53;5323;012;Börnsen;21039
01;0;53;5323;023;Dassendorf;21521
01;0;53;5323;028;Escheburg;21039
01;0;53;5323;050;Hamwarde;21502
01;0;53;5323;053;Hohenhorn;21526
01;0;53;5323;072;Kröppelshagen-Fahrendorf;21529
01;0;53;5323;131;Wiershop;21502
01;0;53;5323;133;Wohltorf;21521
01;0;53;5323;135;Worth;21502
01;0;53;5343;006;Basedow;21483
01;0;53;5343;019;Buchhorst;21481
01;0;53;5343;022;Dalldorf;21483
01;0;53;5343;058;Juliusburg;21483
01;0;53;5343;073;Krüzen;21483
01;0;53;5343;074;Krukow;21483
01;0;53;5343;082;Lanze;21483
01;0;53;5343;087;Lütau;21483
01;0;53;5343;111;Schnakenbek;21481
01;0;53;5343;128;Wangelau;21483
01;0;53;5358;001;Albsfelde;23909
01;0;53;5358;004;Bäk;23909
01;0;53;5358;016;Brunsmark;23883
01;0;53;5358;018;Buchholz;23911
01;0;53;5358;026;Einhaus;23911
01;0;53;5358;030;Fredeburg;23909
01;0;53;5358;033;Giesensdorf;23909
01;0;53;5358;040;Groß Disnack;23911
01;0;53;5358;041;Groß Grönau;23627
01;0;53;5358;043;Groß Sarau;23627
01;0;53;5358;051;Harmsdorf;23911
01;0;53;5358;054;Hollenbek;23883
01;0;53;5358;057;Horst;23883
01;0;53;5358;062;Kittlitz;23911
01;0;53;5358;066;Klein Zecher;23883
01;0;53;5358;078;Kulpin;23911
01;0;53;5358;088;Mechow;23909
01;0;53;5358;093;Mustin;23911
01;0;53;5358;098;Pogeez;23911
01;0;53;5358;102;Römnitz;23909
01;0;53;5358;107;Salem;23911
01;0;53;5358;110;Schmilau;23911
01;0;53;5358;117;Seedorf;23883
01;0;53;5358;123;Sterley;23883
01;0;53;5358;136;Ziethen;23911
01;0;53;5373;007;Basthorst;21493
01;0;53;5373;017;Brunstorf;21524
01;0;53;5373;021;Dahmker;22946
01;0;53;5373;027;Elmenhorst;21493
01;0;53;5373;031;Fuhlenhagen;21493
01;0;53;5373;036;Grabau;21493
01;0;53;5373;042;Groß Pampau;21493
01;0;53;5373;045;Grove;21493
01;0;53;5373;047;Gülzow;21483
01;0;53;5373;049;Hamfelde;22929
01;0;53;5373;052;Havekost;21493
01;0;53;5373;059;Kankelau;21514
01;0;53;5373;060;Kasseburg;22929
01;0;53;5373;070;Köthel;22929
01;0;53;5373;071;Kollow;21527
01;0;53;5373;076;Kuddewörde;22958
01;0;53;5373;089;Möhnsen;21493
01;0;53;5373;091;Mühlenrade;21493
01;0;53;5373;106;Sahms;21493
01;0;53;5391;025;Duvensee;23898
01;0;53;5391;038;Grinau;23847
01;0;53;5391;039;Groß Boden;23847
01;0;53;5391;044;Groß Schenkenberg;23860
01;0;53;5391;068;Klinkrade;23898
01;0;53;5391;069;Koberg;23881
01;0;53;5391;077;Kühsen;23898
01;0;53;5391;079;Labenz;23898
01;0;53;5391;081;Lankau;23881
01;0;53;5391;085;Linau;22959
01;0;53;5391;086;Lüchow;23898
01;0;53;5391;096;Nusse;23896
01;0;53;5391;097;Panten;23896
01;0;53;5391;099;Poggensee;23896
01;0;53;5391;101;Ritzerau;23896
01;0;53;5391;108;Sandesneben;23898
01;0;53;5391;109;Schiphorst;23847
01;0;53;5391;112;Schönberg;22929
